,unique_id,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2,avg mg/biopsy,mg/biopsy std,avg mg/cm2,mg/cm2 std,avg mg/ml,mg/ml std
144,HP71-49,HP71-20240123,B4-1,sample,hide,,B4-1,1/17/24,1.0,8.0,800.0,4.0,20.0,2150.73,2151.07,2143.07,2143.11,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.516,Plate2,E5,,1.516,,7.809999999999945,1.1157359269539782,0.22314718539079564,0.17851774831263653,0.355149775919887,0.1721849168376438,0.1721849168376438,0.34255100800722416,0.34255100800722416,0.21523114604705476,0.21523114604705476
145,HP71-49,HP71-20240123,B4-1,sample,hide,,B4-1,1/17/24,1.0,8.0,800.0,4.0,20.0,2150.73,2151.07,2143.07,2143.11,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.476,Plate2,F5,,1.476,,7.809999999999945,1.0840717695790145,0.2168143539158029,0.17345148313264233,0.34507076158975664,0.1721849168376438,0.1721849168376438,0.34255100800722416,0.34255100800722416,0.21523114604705476,0.21523114604705476
146,HP71-49,HP71-20240123,B4-1,sample,hide,,B4-1,1/17/24,1.0,8.0,800.0,4.0,20.0,2150.73,2151.07,2143.07,2143.11,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.456,Plate2,G5,,1.456,,7.809999999999945,1.0682396908915328,0.21364793817830657,0.17091835054264526,0.34003125442469156,0.1721849168376438,0.1721849168376438,0.34255100800722416,0.34255100800722416,0.21523114604705476,0.21523114604705476
147,HP71-49,HP71-20240123,B4-1,sample,hide,,B4-1,1/17/24,1.0,8.0,800.0,4.0,20.0,2150.73,2151.07,2143.07,2143.11,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.432,Plate2,H5,,1.432,,7.809999999999945,1.0492411964665547,0.20984823929331092,0.16787859143464876,0.3339838458266134,0.1721849168376438,0.1721849168376438,0.34255100800722416,0.34255100800722416,0.21523114604705476,0.21523114604705476
148,HP71-50,HP71-20240123,B4-2,sample,hide,,B4-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2183.23,2183.12,2174.32,2174.26,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.669,Plate3,A5,,1.669,,8.885000000000218,1.2511553980684762,0.25023107961369523,0.2001848636909562,0.39825513235741195,0.18527604590919075,0.18527604590919075,0.3685949817871081,0.3685949817871081,0.23159505738648842,0.23159505738648842
149,HP71-50,HP71-20240123,B4-2,sample,hide,,B4-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2183.23,2183.12,2174.32,2174.26,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.548,Plate3,B5,,1.548,,8.885000000000218,1.1535381387831074,0.2307076277566215,0.1845661022052972,0.3671825936647127,0.18527604590919075,0.18527604590919075,0.3685949817871081,0.3685949817871081,0.23159505738648842,0.23159505738648842
150,HP71-50,HP71-20240123,B4-2,sample,hide,,B4-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2183.23,2183.12,2174.32,2174.26,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.5590000000000002,Plate3,C5,,1.5590000000000002,,8.885000000000218,1.1624124350817773,0.23248248701635546,0.18598598961308438,0.3700073699095035,0.18527604590919075,0.18527604590919075,0.3685949817871081,0.3685949817871081,0.23159505738648842,0.23159505738648842
151,HP71-50,HP71-20240123,B4-2,sample,hide,,B4-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2183.23,2183.12,2174.32,2174.26,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.4,Plate3,D5,,1.4,,8.885000000000218,1.0341385158555485,0.2068277031711097,0.16546216253688778,0.3291765132802539,0.18527604590919075,0.18527604590919075,0.3685949817871081,0.3685949817871081,0.23159505738648842,0.23159505738648842
152,HP71-51,HP71-20240123,B4-3,sample,hide,,B4-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2162.79,2162.82,2153.74,2153.76,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.508,Plate3,A10,,1.508,,9.055000000000291,1.1212679704243076,0.2242535940848615,0.17940287526788923,0.3569106800472913,0.17204527688208293,0.17204527688208293,0.342273203142466,0.342273203142466,0.21505659610260364,0.21505659610260364
153,HP71-51,HP71-20240123,B4-3,sample,hide,,B4-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2162.79,2162.82,2153.74,2153.76,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.4480000000000002,Plate3,B10,,1.4480000000000002,,9.055000000000291,1.0728627178861083,0.21457254357722166,0.17165803486177733,0.3415028096211594,0.17204527688208293,0.17204527688208293,0.342273203142466,0.342273203142466,0.21505659610260364,0.21505659610260364
