"id","experiment_id","biopsy_id","biomaterial_id","mg_per_biopsy_mean","mg_per_biopsy_std","mg_per_ml_mean","mg_per_ml_std","mg_per_cm2_mean","mg_per_cm2_std","net_weight_mg","tissue_areal_density_mg_per_cm2","sample_id","hp_sid"
102,"HP14-20231020","TGFBS231012_dig",NULL,NULL,NULL,"0.002003685",NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,"HP16-20231023","230928-1",NULL,NULL,NULL,"0.008650988",NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,"HP16-20231023","230928-2",NULL,NULL,NULL,"0.007516613",NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,"HP16-20231023","230928-3",NULL,NULL,NULL,"0.007842976",NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,"HP16-20231023","TGFBS231012",NULL,NULL,NULL,"0.002847515",NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,"HP10-20231006","20230727-1-2","PET723-100116","0.084399805",NULL,"0.084399805",NULL,"0.16790807600000002",NULL,"18.2","36.20774955",NULL,NULL
108,"HP10-20231006","20230727-1-3","PET723-100116","0.11419106",NULL,"0.11419106",NULL,"0.227175897",NULL,"24.245","48.23389494",NULL,NULL
109,"HP10-20231006","20230727-1-4","PET723-100116","0.083086907",NULL,"0.083086907",NULL,"0.165296149",NULL,"22.175","44.11576079",NULL,NULL
110,"HP10-20231006","20230727-1-5","PET723-100116","0.118244035",NULL,"0.118244035",NULL,"0.23523903399999999",NULL,"16.85","33.52200989",NULL,NULL
111,"HP10-20231006","20230727-1-6","PET723-100116","0.08466238400000001",NULL,"0.08466238400000001",NULL,"0.168430462",NULL,"16.7","33.22359437",NULL,NULL
112,"HP10-20231006","20230727-2-10","PET723-100116","0.079148213",NULL,"0.079148213",NULL,"0.157460366",NULL,"16.415","32.65660489",NULL,NULL
113,"HP10-20231006","20230727-2-11","PET723-100116","0.106895705",NULL,"0.106895705",NULL,"0.212662249",NULL,"17.14","34.09894656",NULL,NULL
114,"HP10-20231006","20230727-2-12","PET723-100116","0.10395780199999999",NULL,"0.10395780199999999",NULL,"0.206817475",NULL,"17.705","35.22297834",NULL,NULL
115,"HP10-20231006","20230727-2-7","PET723-100116","0.10973278800000001",NULL,"0.10973278800000001",NULL,"0.218306445",NULL,"257.06","511.4046209",NULL,NULL
116,"HP10-20231006","20230727-2-8","PET723-100116","0.076784996",NULL,"0.076784996",NULL,"0.152758897",NULL,"17.04","33.90000288",NULL,NULL
117,"HP10-20231006","20230727-2-9","PET723-100116","0.093926186",NULL,"0.093926186",NULL,"0.18686020899999997",NULL,"16.815","33.4523796",NULL,NULL
118,"HP10-20231006","20230727-3-13","PET723-100116","0.112164573",NULL,"0.112164573",NULL,"0.223144328",NULL,"16.725","33.27333029",NULL,NULL
119,"HP10-20231006","20230727-3-14","PET723-100116","0.07828896",NULL,"0.07828896",NULL,"0.155750938",NULL,"15.655","31.14463293",NULL,NULL
120,"HP10-20231006","20230727-3-15","PET723-100116","0.087846723",NULL,"0.087846723",NULL,"0.17476550300000002",NULL,"15.755","31.34357661",NULL,NULL
121,"HP10-20231006","20230727-3-16","PET723-100116","0.090447885",NULL,"0.090447885",NULL,"0.17994035",NULL,"18.505","36.81452777",NULL,NULL
122,"HP10-20231006","20230727-3-17","PET723-100116","0.09757386300000001",NULL,"0.09757386300000001",NULL,"0.194117033",NULL,"16.175","32.17914006",NULL,NULL
123,"HP10-20231006","20230727-3-18","PET723-100116","0.09098828199999999",NULL,"0.09098828199999999",NULL,"0.181015435",NULL,"16.445","32.71628799",NULL,NULL
124,"HP10-20231006","20230925-A4","V2P1923-300116","0.013465311",NULL,"0.013465311",NULL,"0.026788386",NULL,"28.51","56.71884284",NULL,NULL
