,hp_sid,experiment_id,biomaterial_id,sample_id,biopsy_id,mg_per_biopsy_mean,mg_per_biopsy_std,mg_per_ml_mean,mg_per_ml_std,mg_per_cm2_mean,mg_per_cm2_std,net_weight_mg_x,tissue_areal_density_mg_per_cm2
8160,HP45-1284,HP45-20231201,,B-D03,EXP 50-B-D03-4,,,0.009638422,,,,,
8164,HP45-1285,HP45-20231201,,B-D03,No_ChT_EXP50_-B-D03-4,,,0.005552015,,,,,
8179,HP45-1286,HP45-20231201,,B-D04,EXP 50-B-D04-1,,,0.013244468,,,,,
8183,HP45-1287,HP45-20231201,,B-D04,No_ChT_EXP50_-B-D04-1,,,0.006121799,,,,,
8186,HP45-1288,HP45-20231201,,B-D04,EXP 50-B-D04-2,,,0.013003838,,,,,
8190,HP45-1289,HP45-20231201,,B-D04,No_ChT_EXP50_-B-D04-2,,,0.004389258,,,,,
8193,HP45-1290,HP45-20231201,,B-D04,EXP 50-B-D04-3,,,0.015025136,,,,,
8197,HP45-1291,HP45-20231201,,B-D04,No_ChT_EXP50_-B-D04-3,,,0.005159276,,,,,
8200,HP45-1292,HP45-20231201,,B-D04,EXP 50-B-D04-4,,,0.013821982,,,,,
8204,HP45-1293,HP45-20231201,,B-D04,No_ChT_EXP50_-B-D04-4,,,0.005448033,,,,,
8207,HP45-1294,HP45-20231201,,B-D05,EXP 50-B-D05-1,,,0.014688253,,,,,
8211,HP45-1295,HP45-20231201,,B-D05,No_ChT_EXP50_-B-D05-1,,,0.005448033,,,,,
8214,HP45-1296,HP45-20231201,,B-D05,EXP 50-B-D05-2,,,0.015313892,,,,,
8218,HP45-1297,HP45-20231201,,B-D05,No_ChT_EXP50_-B-D05-2,,,0.004870519,,,,,
8221,HP45-1298,HP45-20231201,,B-D05,EXP 50-B-D05-3,,,0.016324541,,,,,
8225,HP45-1299,HP45-20231201,,B-D05,No_ChT_EXP50_-B-D05-3,,,0.00448551,,,,,
8228,HP45-1300,HP45-20231201,,B-D05,EXP 50-B-D05-4,,,0.015795154,,,,,
8232,HP45-1301,HP45-20231201,,B-D05,No_ChT_EXP50_-B-D05-4,,,0.005351781,,,,,
8235,HP45-1302,HP45-20231201,,B-D06,EXP 50-B-D06-1,,,0.016709551,,,,,
8239,HP45-1303,HP45-20231201,,B-D06,No_ChT_EXP50_-B-D06-1,,,0.005544285,,,,,
8242,HP45-1304,HP45-20231201,,B-D06,EXP 50-B-D06-2,,,0.015698902,,,,,
8246,HP45-1305,HP45-20231201,,B-D06,No_ChT_EXP50_-B-D06-2,,,0.00448551,,,,,
8249,HP45-1306,HP45-20231201,,B-D06,EXP 50-B-D06-3,,,0.01796083,,,,,
8253,HP45-1307,HP45-20231201,,B-D06,No_ChT_EXP50_-B-D06-3,,,0.004293005,,,,,
8256,HP45-1308,HP45-20231201,,B-D06,EXP 50-B-D06-4,,,0.016805803,,,,,
8260,HP45-1309,HP45-20231201,,B-D06,No_ChT_EXP50_-B-D06-4,,,0.004678015,,,,,
8275,HP45-1310,HP45-20231201,,B-D07,EXP 50-B-D07-1,,,0.017792856,,,,,
