,HP_sid,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2,avg mg/biopsy,mg/biopsy std,avg mg/cm2,mg/cm2 std,avg mg/ml,mg/ml std
42,19,HP82-20240202,Hyp-media_0.2,sample,liquid,,Hyp-media_0.2,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,1.283,Plate2,C7,,1.283,,,0.9425708359256143,0.18851416718512287,,,,,,,0.19132669178928022,0.19132669178928022
43,19,HP82-20240202,Hyp-media_0.2,sample,liquid,,Hyp-media_0.2,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,1.364,Plate2,D7,,1.364,,,1.0076606910503987,0.20153213821007973,,,,,,,0.19132669178928022,0.19132669178928022
44,2,HP82-20240202,Gelatin-water_1.25,sample,liquid,,Gelatin-water_1.25,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,1.045,Plate1,A2,,1.045,,,0.778347025704206,0.1556694051408412,,,,,,,0.15323683947170347,0.15323683947170347
45,2,HP82-20240202,Gelatin-water_1.25,sample,liquid,,Gelatin-water_1.25,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,1.037,Plate1,B2,,1.037,,,0.7716364997203778,0.15432729994407557,,,,,,,0.15323683947170347,0.15323683947170347
46,2,HP82-20240202,Gelatin-water_1.25,sample,liquid,,Gelatin-water_1.25,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,1.024,Plate1,C2,,1.024,,,0.7607318949966572,0.15214637899933142,,,,,,,0.15323683947170347,0.15323683947170347
47,2,HP82-20240202,Gelatin-water_1.25,sample,liquid,,Gelatin-water_1.25,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.996,Plate1,D2,,0.996,,,0.7372450540532585,0.1474490108106517,,,,,,,0.15323683947170347,0.15323683947170347
48,20,HP82-20240202,Hyp-media_0.1,sample,liquid,,Hyp-media_0.1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.697,Plate2,A8,,0.697,,,0.471673859343844,0.09433477186876879,,,,,,,0.10180805153124399,0.10180805153124399
49,20,HP82-20240202,Hyp-media_0.1,sample,liquid,,Hyp-media_0.1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.746,Plate2,B8,,0.746,,,0.5110492038020467,0.10220984076040933,,,,,,,0.10180805153124399,0.10180805153124399
50,20,HP82-20240202,Hyp-media_0.1,sample,liquid,,Hyp-media_0.1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.741,Plate2,C8,,0.741,,,0.5070313115103934,0.10140626230207868,,,,,,,0.10180805153124399,0.10180805153124399
51,20,HP82-20240202,Hyp-media_0.1,sample,liquid,,Hyp-media_0.1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.751,Plate2,D8,,0.751,,,0.5150670960937,0.10301341921874001,,,,,,,0.10180805153124399,0.10180805153124399
52,21,HP82-20240202,Hyp-media_0.05,sample,liquid,,Hyp-media_0.05,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.486,Plate2,A9,,0.486,,,0.3021188046360735,0.0604237609272147,,,,,,,0.055763005868896834,0.055763005868896834
53,21,HP82-20240202,Hyp-media_0.05,sample,liquid,,Hyp-media_0.05,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.444,Plate2,B9,,0.444,,,0.2683685093861855,0.0536737018772371,,,,,,,0.055763005868896834,0.055763005868896834
54,21,HP82-20240202,Hyp-media_0.05,sample,liquid,,Hyp-media_0.05,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.454,Plate2,C9,,0.454,,,0.2764042939694922,0.055280858793898435,,,,,,,0.055763005868896834,0.055763005868896834
55,21,HP82-20240202,Hyp-media_0.05,sample,liquid,,Hyp-media_0.05,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.46,Plate2,D9,,0.46,,,0.2812257647194762,0.05624515294389524,,,,,,,0.055763005868896834,0.055763005868896834
56,22,HP82-20240202,Hyp-media_0.025,sample,liquid,,Hyp-media_0.025,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.369,Plate2,A10,,0.369,,,0.20810012501138553,0.04162002500227711,,,,,,,0.029807421664816314,0.029807421664816314
57,22,HP82-20240202,Hyp-media_0.025,sample,liquid,,Hyp-media_0.025,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.29,Plate2,B10,,0.29,,,0.1446174268032629,0.02892348536065258,,,,,,,0.029807421664816314,0.029807421664816314
58,22,HP82-20240202,Hyp-media_0.025,sample,liquid,,Hyp-media_0.025,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.285,Plate2,C10,,0.285,,,0.14059953451160956,0.02811990690232191,,,,,,,0.029807421664816314,0.029807421664816314
59,22,HP82-20240202,Hyp-media_0.025,sample,liquid,,Hyp-media_0.025,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.301,Plate2,D10,,0.301,,,0.15345678984490024,0.030691357968980048,,,,,,,0.029807421664816314,0.029807421664816314
60,23,HP82-20240202,Hyp-media_0.0125,sample,liquid,,Hyp-media_0.0125,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.341,Plate2,A11,,0.341,,,0.18559992817812693,0.03711998563562539,,,,,,,0.01670909279402645,0.01670909279402645
61,23,HP82-20240202,Hyp-media_0.0125,sample,liquid,,Hyp-media_0.0125,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.209,Plate2,B11,,0.209,,,0.07952757167847893,0.015905514335695786,,,,,,,0.01670909279402645,0.01670909279402645
62,23,HP82-20240202,Hyp-media_0.0125,sample,liquid,,Hyp-media_0.0125,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.206,Plate2,C11,,0.206,,,0.07711683630348695,0.015423367260697391,,,,,,,0.01670909279402645,0.01670909279402645
63,23,HP82-20240202,Hyp-media_0.0125,sample,liquid,,Hyp-media_0.0125,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.219,Plate2,D11,,0.219,,,0.0875633562617856,0.017512671252357122,,,,,,,0.01670909279402645,0.01670909279402645
64,24,HP82-20240202,Hyp-media_0.00625,sample,liquid,,Hyp-media_0.00625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.247,Plate2,A12,,0.247,,,0.11006355309504426,0.022012710619008852,,,,,,,0.010280465127381126,0.010280465127381126
65,24,HP82-20240202,Hyp-media_0.00625,sample,liquid,,Hyp-media_0.00625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.169,Plate2,B12,,0.169,,,0.0473844333452523,0.009476886669050461,,,,,,,0.010280465127381126,0.010280465127381126
66,24,HP82-20240202,Hyp-media_0.00625,sample,liquid,,Hyp-media_0.00625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.173,Plate2,C12,,0.173,,,0.05059874717857496,0.010119749435714993,,,,,,,0.010280465127381126,0.010280465127381126
67,24,HP82-20240202,Hyp-media_0.00625,sample,liquid,,Hyp-media_0.00625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.175,Plate2,D12,,0.175,,,0.05220590409523629,0.010441180819047258,,,,,,,0.010280465127381126,0.010280465127381126
68,25,HP82-20240202,Col_1,sample,liquid,,Col_1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.9,Plate2,E1,,0.9,,,0.6348002863849693,0.12696005727699386,,,,,,,0.12414753267283654,0.12414753267283654
69,25,HP82-20240202,Col_1,sample,liquid,,Col_1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.865,Plate2,F1,,0.865,,,0.606675040343396,0.12133500806867921,,,,,,,0.12414753267283654,0.12414753267283654
70,25,HP82-20240202,Col_1,sample,liquid,,Col_1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.826,Plate2,G1,,0.826,,,0.5753354804684999,0.11506709609369999,,,,,,,0.12414753267283654,0.12414753267283654
71,25,HP82-20240202,Col_1,sample,liquid,,Col_1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.905,Plate2,H1,,0.905,,,0.6388181786766226,0.1277636357353245,,,,,,,0.12414753267283654,0.12414753267283654
72,26,HP82-20240202,Col_0.5,sample,liquid,,Col_0.5,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.466,Plate2,E2,,0.466,,,0.2860472354694602,0.057209447093892044,,,,,,,0.05728980493972512,0.05728980493972512
73,26,HP82-20240202,Col_0.5,sample,liquid,,Col_0.5,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.456,Plate2,F2,,0.456,,,0.27801145088615353,0.05560229017723071,,,,,,,0.05728980493972512,0.05728980493972512
74,26,HP82-20240202,Col_0.5,sample,liquid,,Col_0.5,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.467,Plate2,G2,,0.467,,,0.2868508139277909,0.057370162785558176,,,,,,,0.05728980493972512,0.05728980493972512
75,26,HP82-20240202,Col_0.5,sample,liquid,,Col_0.5,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.473,Plate2,H2,,0.473,,,0.2916722846777748,0.05833445693555496,,,,,,,0.05728980493972512,0.05728980493972512
76,27,HP82-20240202,Water,sample,liquid,,Water,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.114,Plate1,E1,,0.114,,,-0.0025904356637977827,-0.0005180871327595566,,,,,,,-0.0024239256677701278,-0.0024239256677701278
77,27,HP82-20240202,Water,sample,liquid,,Water,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.088,Plate1,F1,,0.088,,,-0.024399645111239363,-0.004879929022247873,,,,,,,-0.0024239256677701278,-0.0024239256677701278
78,27,HP82-20240202,Water,sample,liquid,,Water,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.116,Plate1,G1,,0.116,,,-0.0009128041678407306,-0.0001825608335681461,,,,,,,-0.0024239256677701278,-0.0024239256677701278
79,27,HP82-20240202,Water,sample,liquid,,Water,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.229,Plate1,H1,,0.229,,,0.09387337535373225,0.018774675070746448,,,,,,,-0.0024239256677701278,-0.0024239256677701278
80,27,HP82-20240202,Water,sample,liquid,,Water,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.088,Plate2,E3,,0.088,,,-0.01770542177953166,-0.003541084355906332,,,,,,,-0.0024239256677701278,-0.0024239256677701278
81,27,HP82-20240202,Water,sample,liquid,,Water,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.088,Plate2,F3,,0.088,,,-0.01770542177953166,-0.003541084355906332,,,,,,,-0.0024239256677701278,-0.0024239256677701278
82,27,HP82-20240202,Water,sample,liquid,,Water,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.088,Plate2,G3,,0.088,,,-0.01770542177953166,-0.003541084355906332,,,,,,,-0.0024239256677701278,-0.0024239256677701278
83,27,HP82-20240202,Water,sample,liquid,,Water,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.09,Plate2,H3,,0.09,,,-0.016098264862870332,-0.0032196529725740664,,,,,,,-0.0024239256677701278,-0.0024239256677701278
84,28,HP82-20240202,Media,sample,liquid,,Media,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.089,Plate1,E2,,0.089,,,-0.02356082936326083,-0.004712165872652166,,,,,,,-0.00010457793907688664,-0.00010457793907688664
85,28,HP82-20240202,Media,sample,liquid,,Media,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.086,Plate1,F2,,0.086,,,-0.0260772766071964,-0.0052154553214392805,,,,,,,-0.00010457793907688664,-0.00010457793907688664
86,28,HP82-20240202,Media,sample,liquid,,Media,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.086,Plate1,G2,,0.086,,,-0.0260772766071964,-0.0052154553214392805,,,,,,,-0.00010457793907688664,-0.00010457793907688664
87,28,HP82-20240202,Media,sample,liquid,,Media,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.227,Plate1,H2,,0.227,,,0.09219574385777518,0.018439148771555038,,,,,,,-0.00010457793907688664,-0.00010457793907688664
88,28,HP82-20240202,Media,sample,liquid,,Media,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.125,Plate2,E4,,0.125,,,0.012026981178702989,0.002405396235740598,,,,,,,-0.00010457793907688664,-0.00010457793907688664
89,28,HP82-20240202,Media,sample,liquid,,Media,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.121,Plate2,F4,,0.121,,,0.008812667345380318,0.0017625334690760635,,,,,,,-0.00010457793907688664,-0.00010457793907688664
90,28,HP82-20240202,Media,sample,liquid,,Media,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.123,Plate2,G4,,0.123,,,0.01041982426204166,0.002083964852408332,,,,,,,-0.00010457793907688664,-0.00010457793907688664
91,28,HP82-20240202,Media,sample,liquid,,Media,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.129,Plate2,H4,,0.129,,,0.01524129501202566,0.003048259002405132,,,,,,,-0.00010457793907688664,-0.00010457793907688664
92,3,HP82-20240202,Gelatin-water_0.625,sample,liquid,,Gelatin-water_0.625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.602,Plate1,A3,,0.602,,,0.40675164934972086,0.08135032986994417,,,,,,,0.07103289616980837,0.07103289616980837
93,3,HP82-20240202,Gelatin-water_0.625,sample,liquid,,Gelatin-water_0.625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.543,Plate1,B3,,0.543,,,0.3572615202189881,0.07145230404379763,,,,,,,0.07103289616980837,0.07103289616980837
94,3,HP82-20240202,Gelatin-water_0.625,sample,liquid,,Gelatin-water_0.625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.538,Plate1,C3,,0.538,,,0.3530674414790955,0.07061348829581911,,,,,,,0.07103289616980837,0.07103289616980837
