,ID,experiment_ID,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_ID,reaction_date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/biopsy,mg/cm2
14,2,HP1,G2.5,control,,,,,,,,,,DS,0.525,,,07-26-2023,500,100,1000,20,0.705,Plate1,C4,,0.639,0.9997867646222607,,0.5754204432233525,,
15,2,HP1,G2.5,control,,,,,,,,,,DS,0.525,,,07-26-2023,500,100,1000,20,0.662,Plate1,D4,,0.5960000000000001,0.9997867646222607,,0.5343688095701354,,
16,3,HP1,G0,control,,,,,,,,,,DS,0.0,,,07-26-2023,500,100,1000,20,0.086,Plate1,A5,,0.01999999999999999,0.9997867646222607,,-0.015532143552028713,,
17,3,HP1,G0,control,,,,,,,,,,DS,0.0,,,07-26-2023,500,100,1000,20,0.086,Plate1,B5,,0.01999999999999999,0.9997867646222607,,-0.015532143552028713,,
18,3,HP1,G0,control,,,,,,,,,,DS,0.0,,,07-26-2023,500,100,1000,20,0.084,Plate1,C5,,0.018000000000000002,0.9997867646222607,,-0.01744152186148066,,
19,3,HP1,G0,control,,,,,,,,,,DS,0.0,,,07-26-2023,500,100,1000,20,0.085,Plate1,D5,,0.019000000000000003,0.9997867646222607,,-0.01648683270675468,,
20,3,HP1,G0,control,,,,,,,,,,DS,0.0,,,07-26-2023,500,100,1000,20,0.085,Plate1,A6,,0.019000000000000003,0.9997867646222607,,-0.01648683270675468,,
21,3,HP1,G0,control,,,,,,,,,,DS,0.0,,,07-26-2023,500,100,1000,20,0.084,Plate1,B6,,0.018000000000000002,0.9997867646222607,,-0.01744152186148066,,
22,3,HP1,G0,control,,,,,,,,,,DS,0.0,,,07-26-2023,500,100,1000,20,0.085,Plate1,C6,,0.019000000000000003,0.9997867646222607,,-0.01648683270675468,,
23,3,HP1,G0,control,,,,,,,,,,DS,0.0,,,07-26-2023,500,100,1000,20,0.084,Plate1,D6,,0.018000000000000002,0.9997867646222607,,-0.01744152186148066,,
